City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
aloleng,100,PH,1603765439,69,16.13,119.78,85.23,21.25
deer lake,90,CA,1603765439,69,49.17,-57.43,35.6,10.29
sao joao da ponte,99,BR,1603765440,82,-15.93,-44.01,71.47,3.18
westport,90,US,1603765172,93,41.14,-73.36,59.0,6.93
liaozhong,0,CN,1603765440,27,41.51,122.72,51.8,8.95
livramento,0,BR,1603765440,94,-3.03,-60.18,84.2,4.7
muzhi,72,RU,1603765268,94,65.37,64.67,1.54,5.84
tall kayf,0,TR,1603765441,33,37.08,41.07,60.75,2.71
shelburne,90,CA,1603765338,86,44.08,-80.2,42.01,2.24
norman wells,75,CA,1603765441,79,65.28,-126.83,24.8,18.34
thunder bay,90,CA,1603765276,54,48.4,-89.32,28.4,4.7
olinda,75,BR,1603765441,74,-8.01,-34.86,80.6,11.41
mbandaka,45,CD,1603765442,90,0.05,18.26,69.78,2.53
salalah,0,OM,1603765442,64,17.02,54.09,73.4,2.24
yima,100,CN,1603765442,99,34.74,111.88,66.99,11.88
kem,100,RU,1603765442,93,64.96,34.58,42.53,11.61
havoysund,0,NO,1603765443,74,71.0,24.66,35.6,6.93
havelock,1,US,1603765409,93,34.88,-76.9,63.0,4.29
tecoanapa,100,MX,1603765443,87,16.52,-98.75,81.1,7.52
inuvik,75,CA,1603765443,85,68.35,-133.72,10.4,6.93
lompoc,1,US,1603765443,63,34.64,-120.46,60.8,4.7
xinzhou,100,CN,1603765444,38,38.41,112.73,49.95,5.41
barcelona,20,ES,1603765444,58,41.39,2.16,57.0,5.82
desaguadero,70,PE,1603765444,50,-16.57,-69.04,52.03,1.36
nalut,0,LY,1603765444,45,30.33,10.85,59.65,5.08
kouango,99,CF,1603765445,96,4.99,19.96,72.03,3.49
poum,91,NC,1603765445,75,-20.23,164.02,76.39,12.33
egvekinot,100,RU,1603765293,96,66.32,-179.17,22.8,1.63
santa rosa,75,PH,1603765445,74,14.31,121.11,87.01,8.05
senneterre,40,CA,1603765446,100,48.38,-77.23,21.2,4.7
monywa,15,MM,1603765446,78,22.12,95.13,80.89,5.7
rodrigues alves,0,BR,1603765446,83,-7.74,-72.65,80.6,3.36
tuatapere,50,NZ,1603765446,62,-46.13,167.68,57.99,5.99
dzilam gonzalez,100,MX,1603765447,90,21.28,-88.93,77.05,7.05
gap,65,FR,1603765447,88,44.67,6.0,37.99,1.01
lima,20,PE,1603765290,82,-12.04,-77.03,62.6,13.87
alofi,75,NU,1603765308,69,-19.06,-169.92,78.8,17.22
neustadt,90,DE,1603765448,93,49.71,12.09,44.01,4.7
sobolevo,11,RU,1603765448,91,54.43,31.9,43.09,11.03
shirokiy,96,RU,1603765448,63,49.76,129.52,44.13,15.39
souillac,40,MU,1603765448,78,-20.52,57.52,71.6,6.93
techiman,2,GH,1603765448,85,7.59,-1.94,71.78,2.93
soverato,0,IT,1603765449,87,38.69,16.55,50.0,4.7
launceston,48,AU,1603765449,47,-41.45,147.17,62.01,21.92
bekovo,3,RU,1603765449,90,52.47,43.71,34.05,6.29
moranbah,100,AU,1603765449,30,-22.0,148.05,90.59,10.38
la ronge,75,CA,1603765450,62,55.1,-105.28,24.8,4.7
jiazi,45,CN,1603765451,64,22.88,116.07,76.28,19.37
luganville,40,VU,1603765452,66,-15.53,167.17,84.2,10.29
nakusp,88,CA,1603765453,95,50.25,-117.8,28.0,1.25
aksu,79,CN,1603765454,51,41.12,80.26,45.16,2.44
namibe,11,AO,1603765455,83,-15.2,12.15,68.68,3.04
verkhnyaya inta,100,RU,1603765457,91,65.98,60.31,14.83,4.03
chapais,90,CA,1603765458,86,49.78,-74.85,26.6,10.29
otane,100,NZ,1603765267,91,-39.88,176.63,55.0,5.99
pangnirtung,3,CA,1603765459,83,66.15,-65.71,7.38,7.34
lubango,90,AO,1603765459,60,-14.92,13.49,64.18,3.49
buluang,100,PH,1603765460,78,13.31,123.34,82.42,2.82
naze,20,JP,1603765304,57,28.37,129.48,78.8,8.05
kuusamo,90,FI,1603765460,100,65.97,29.18,39.2,5.82
grindavik,90,IS,1603765304,73,63.84,-22.43,37.4,21.92
baykit,68,RU,1603765460,93,61.67,96.37,14.16,4.36
kutum,0,SD,1603765461,25,14.2,24.67,68.11,7.87
najran,0,SA,1603765461,30,17.49,44.13,57.2,1.21
milkovo,100,RU,1603765461,95,54.72,158.62,38.32,5.39
varzea da palma,67,BR,1603765461,78,-17.6,-44.73,73.96,0.31
chico,40,US,1603765202,7,39.73,-121.84,69.8,5.82
onguday,100,RU,1603765462,76,50.75,86.15,35.29,4.65
tonstad,83,NO,1603765462,83,58.66,6.72,46.99,5.77
muros,100,ES,1603765307,91,42.78,-9.06,55.0,14.0
chupaca,99,PE,1603765463,63,-12.07,-75.28,55.26,4.88
shache,17,CN,1603765463,54,38.42,77.24,43.0,3.2
cayenne,20,GF,1603765308,100,4.93,-52.33,78.8,4.7
baherden,100,TM,1603765463,34,38.44,57.43,57.38,1.9
umm lajj,0,SA,1603765463,48,25.02,37.27,78.71,8.59
deputatskiy,100,RU,1603765464,90,69.3,139.9,4.5,1.19
cape canaveral,20,US,1603765321,83,28.41,-80.6,81.0,6.93
macherla,0,IN,1603765464,80,16.48,79.43,74.71,5.17
mercedes,0,AR,1603765195,59,-34.65,-59.43,59.0,6.91
itaueira,5,BR,1603765464,66,-7.6,-43.03,80.11,2.93
sehithwa,0,BW,1603765465,20,-20.47,22.72,75.42,10.51
sandwick,0,GB,1603765465,93,60.0,-1.25,48.2,8.05
abu samrah,0,SY,1603765465,28,35.3,37.18,63.86,5.97
palmas bellas,27,PA,1603765465,78,9.23,-80.09,82.4,3.36
manuk mangkaw,100,PH,1603765466,78,4.8,119.85,83.46,16.89
pasighat,95,IN,1603765466,73,28.07,95.33,74.08,1.01
yar-sale,36,RU,1603765466,95,66.83,70.83,6.46,5.3
ostersund,100,SE,1603765466,100,63.18,14.64,41.0,9.17
watrous,32,CA,1603765467,87,51.67,-105.47,22.35,7.43
bilma,0,NE,1603765331,25,18.69,12.92,68.49,3.67
roebourne,2,AU,1603765309,32,-20.78,117.13,86.56,7.81
almaznyy,0,RU,1603765467,57,48.04,40.05,48.2,20.13
oktyabrskiy,64,RU,1603765467,92,54.48,53.47,27.88,12.41
xining,100,CN,1603765467,86,36.62,101.77,34.9,3.11
abrau-dyurso,0,RU,1603765468,81,44.69,37.59,51.8,4.47
grand gaube,0,MU,1603765305,74,-20.01,57.66,73.99,5.01
ndende,100,GA,1603765468,96,-2.4,11.36,72.61,1.45
biaora,0,IN,1603765468,44,23.87,76.92,69.67,4.09
aktau,0,KZ,1603765469,93,43.65,51.2,37.4,11.18
korla,85,CN,1603765469,52,41.76,86.15,44.85,4.97
vodnyy,90,RU,1603765469,97,63.5,53.41,21.16,4.9
hamilton,90,US,1603765261,81,39.18,-84.53,48.2,3.36
soyo,100,AO,1603765470,86,-6.13,12.37,76.03,2.55
colwyn bay,53,GB,1603765470,91,53.29,-3.73,46.0,5.01
trairi,0,BR,1603765324,81,-3.28,-39.27,78.12,9.35
ushtobe,0,KZ,1603765470,41,45.25,77.98,51.64,8.63
yatou,0,CN,1603765470,49,37.15,122.38,65.98,6.71
troitsko-pechorsk,100,RU,1603765471,97,62.71,56.2,17.74,2.28
sundargarh,0,IN,1603765471,78,22.12,84.03,71.6,3.06
clovis,40,US,1603765471,36,36.83,-119.7,60.8,4.7
rawson,100,AR,1603765471,36,-43.3,-65.1,62.82,8.39
sechura,50,PE,1603765303,79,-5.56,-80.82,66.81,12.28
uppsala,100,SE,1603765471,93,60.0,17.75,51.8,9.17
erenhot,0,CN,1603765472,60,43.65,111.98,36.59,11.5
bubaque,2,GW,1603765472,80,11.28,-15.83,82.67,11.61
praia da vitoria,75,PT,1603765472,94,38.73,-27.07,69.8,10.07
mamlyutka,90,KZ,1603765472,91,54.94,68.54,33.8,11.18
malangali,17,TZ,1603765473,87,-8.57,34.85,60.42,6.89
gravelbourg,24,CA,1603765473,95,49.88,-106.55,20.66,9.4
nicoya,75,CR,1603765473,100,10.15,-85.45,75.2,2.24
bambari,55,CF,1603765473,92,5.77,20.68,71.38,2.57
storforshei,50,NO,1603765474,90,66.4,14.52,34.0,6.02
rayong,43,TH,1603765474,61,12.83,101.43,87.01,3.38
pokhara,0,NP,1603765474,30,28.23,83.98,68.45,1.5
aranos,91,NA,1603765474,42,-24.13,19.12,71.82,10.67
ankara,0,TR,1603765207,81,39.92,32.85,60.01,2.57
topeka,90,US,1603765260,63,39.05,-95.68,30.2,8.05
beringovskiy,0,RU,1603765323,84,63.05,179.32,33.55,2.64
ucluelet,90,CA,1603765428,100,48.93,-125.55,45.0,3.36
akdepe,0,TM,1603765475,81,42.06,59.38,42.8,6.93
makakilo city,75,US,1603765475,74,21.35,-158.09,82.4,11.41
calabazar de sagua,40,CU,1603765476,88,22.64,-79.9,77.0,4.7
mpika,63,ZM,1603765476,67,-11.83,31.45,64.53,9.78
tchibanga,97,GA,1603765476,99,-2.85,11.03,71.04,1.52
slupsk,100,PL,1603765476,91,54.46,17.03,51.78,7.9
kruisfontein,1,ZA,1603765476,89,-34.0,24.73,64.0,1.99
gornopravdinsk,100,RU,1603765326,96,60.05,69.9,26.65,14.2
carnarvon,0,AU,1603765477,57,-24.87,113.63,77.0,25.28
fare,94,PF,1603765477,75,-16.7,-151.02,81.48,17.09
harper,62,LR,1603765477,88,4.38,-7.72,77.61,7.99
saint-francois,90,FR,1603765478,76,46.42,3.91,48.2,4.7
asau,0,RO,1603765279,98,46.43,26.4,48.0,3.31
aasiaat,60,GL,1603765478,91,68.71,-52.87,15.94,7.4
ambon,40,ID,1603765478,62,-3.7,128.18,89.6,4.7
puerto lempira,100,HN,1603765478,86,15.27,-83.77,79.7,6.64
baoqing,100,CN,1603765479,63,46.33,132.21,48.04,7.96
margate,8,GB,1603765329,66,51.38,1.39,51.01,4.0
kayes,18,ML,1603765479,18,14.0,-11.0,75.51,2.39
mount gambier,90,AU,1603765479,59,-37.83,140.77,62.6,12.75
karasburg,0,NA,1603765479,43,-28.02,18.75,60.42,6.8
maloy,94,NO,1603765480,76,61.94,5.11,48.2,9.17
oussouye,16,SN,1603765314,86,12.48,-16.55,79.34,4.97
bintulu,20,MY,1603765480,88,3.17,113.03,78.8,5.82
mindelo,75,CV,1603765480,74,16.89,-24.98,78.8,33.33
lavrentiya,0,RU,1603765263,91,65.58,-171.0,31.6,4.99
stornoway,59,GB,1603765481,93,58.21,-6.39,43.0,5.82
mandera,93,KE,1603765326,73,3.94,41.87,78.19,14.85
ewa beach,75,US,1603765481,74,21.32,-158.01,82.4,11.41
itoman,20,JP,1603765481,57,26.12,127.67,78.8,12.75
trincomalee,76,LK,1603765434,79,8.57,81.23,80.29,4.92
bundaberg,75,AU,1603765482,74,-24.85,152.35,80.01,14.99
port-gentil,100,GA,1603765482,85,-0.72,8.78,78.08,13.02
meulaboh,58,ID,1603765325,75,4.14,96.13,81.64,3.51
alice springs,0,AU,1603765326,17,-23.7,133.88,77.0,8.05
garoua,83,CM,1603765483,46,9.3,13.4,72.84,1.14
pimentel,95,PE,1603765483,89,-6.84,-79.93,62.82,12.44
bokhan,18,RU,1603765483,89,53.15,103.77,27.19,4.47
lyubech,70,UA,1603765483,79,51.7,30.66,45.55,9.66
constitucion,100,CL,1603765288,83,-35.33,-72.42,50.36,10.54
lazaro cardenas,100,MX,1603765293,87,17.96,-102.2,81.18,7.94
pangkalanbuun,100,ID,1603765197,85,-2.68,111.62,77.76,4.32
boa esperanca,51,BR,1603765292,80,-21.09,-45.57,68.77,1.57
tacuarembo,70,UY,1603765484,74,-31.73,-55.98,53.1,10.42
acarau,2,BR,1603765308,85,-2.89,-40.12,77.58,12.01
krasnogvardeyskiy,100,RU,1603765485,95,57.38,62.32,27.7,18.1
blagoyevo,100,RU,1603765485,97,63.37,47.92,24.71,8.21
maniitsoq,26,GL,1603765485,87,65.42,-52.9,24.28,6.71
inirida,100,CO,1603765485,95,3.87,-67.92,75.74,3.11
damietta,0,EG,1603765425,83,31.42,31.81,75.2,9.17
jos,63,NG,1603765486,37,9.92,8.9,66.67,2.01
santa cruz,75,BO,1603765340,78,-17.8,-63.17,71.6,6.93
nata,30,PA,1603765486,80,8.33,-80.52,75.99,5.01
nieuw amsterdam,54,SR,1603765486,93,5.88,-55.08,79.0,8.48
praia,40,CV,1603765486,78,14.92,-23.51,78.8,12.75
kabin buri,100,TH,1603765487,93,13.95,101.72,72.93,2.64
northam,100,GB,1603765487,86,51.03,-4.22,48.99,8.01
atasu,21,KZ,1603765487,77,48.68,71.64,37.44,19.24
weligama,46,LK,1603765487,81,5.97,80.42,80.26,5.66
mont-dore,40,NC,1603765488,43,-22.28,166.58,91.4,14.99
altamira,24,BR,1603765311,68,-3.2,-52.21,80.19,2.44
staunton,90,US,1603765488,93,38.15,-79.07,62.01,3.83
jackson,1,US,1603765488,14,42.42,-122.83,60.8,3.36
lata,20,PT,1603765326,93,40.16,-8.33,51.01,4.7
san vicente,53,AR,1603765489,100,-26.62,-54.13,60.71,3.09
samarai,99,PG,1603765489,78,-10.62,150.67,82.08,6.87
liverpool,23,GB,1603765489,87,53.41,-2.98,46.99,4.7
nioro,0,GM,1603765267,82,13.35,-15.75,76.44,5.21
kedrovyy,40,RU,1603765490,100,56.17,91.82,35.6,2.24
hobyo,70,SO,1603765490,80,5.35,48.53,78.42,3.13
kabare,100,CD,1603765490,87,-2.47,28.82,62.62,4.14
caravelas,8,BR,1603765243,90,-17.71,-39.25,73.53,3.47
rocha,100,UY,1603765490,67,-34.48,-54.33,52.81,11.1
mandalgovi,0,MN,1603765491,60,45.76,106.27,33.46,6.89
timizart,0,DZ,1603765491,76,36.8,4.27,53.08,4.0
balestrand,51,NO,1603765491,96,61.21,6.53,37.0,3.15
finnsnes,59,NO,1603765491,80,69.23,17.98,30.99,14.99
pokosnoye,98,RU,1603765491,97,55.53,101.05,29.88,6.51
bonthe,15,SL,1603765492,86,7.53,-12.51,78.35,4.32
havre-saint-pierre,90,CA,1603765296,100,50.23,-63.6,30.2,6.93
nemuro,40,JP,1603765305,62,43.32,145.57,53.6,2.24
adrar,4,MR,1603765297,15,20.5,-10.07,83.05,6.44
san quintin,0,MX,1603765295,47,30.48,-115.95,65.05,8.52
abomsa,60,ET,1603765493,35,9.98,39.98,62.37,3.8
yaan,99,NG,1603765493,93,7.38,8.57,73.65,5.12
roznava,90,SK,1603765493,66,48.66,20.54,55.4,11.41
aurangabad,40,IN,1603765493,82,19.88,75.33,66.2,0.29
tongling,98,CN,1603765493,82,30.95,117.78,64.04,5.14
nouadhibou,0,MR,1603765494,60,20.93,-17.03,75.2,18.34
chernoistochinsk,100,RU,1603765494,93,57.74,59.87,21.96,13.85
karoi,0,ZW,1603765494,53,-16.81,29.69,66.54,9.08
eregli,100,TR,1603765494,34,37.51,34.05,59.31,4.27
oksfjord,100,NO,1603765312,69,70.24,22.35,35.6,14.99
dolinsk,40,RU,1603765495,57,47.35,142.8,50.0,4.47
rurrenabaque,100,BO,1603765495,95,-14.44,-67.53,73.99,8.77
velyka oleksandrivka,76,UA,1603765495,75,47.32,33.3,55.18,11.1
porbandar,0,IN,1603765396,57,21.64,69.61,75.2,3.36
toora-khem,89,RU,1603765268,85,52.47,96.11,28.71,1.95
machico,20,PT,1603765496,63,32.7,-16.77,66.2,10.29
kindersley,40,CA,1603765496,53,51.47,-109.17,24.8,6.93
goderich,100,CA,1603765312,81,43.75,-81.72,45.0,4.0
epe,100,NG,1603765496,93,6.58,3.98,75.99,2.46
rio grande,100,BR,1603765457,99,-32.03,-52.1,61.0,7.0
bridgewater,100,CA,1603765497,97,44.38,-64.52,52.0,1.01
sao miguel,40,BR,1603765497,88,-5.47,-35.37,78.8,5.82
shitanjing,100,CN,1603765497,51,39.23,106.34,41.14,2.68
evensk,99,RU,1603765497,87,61.95,159.23,32.63,11.83
atar,100,MR,1603765497,17,20.52,-13.05,85.68,7.31
svetlyy,100,RU,1603765498,87,54.67,20.13,55.4,6.71
ndele,50,CF,1603765498,63,8.41,20.65,70.83,1.57
lac du bonnet,94,CA,1603765498,98,50.25,-96.06,24.01,8.01
peniche,69,PT,1603765335,85,39.36,-9.38,55.0,5.99
yabelo,94,ET,1603765498,91,4.88,38.08,60.44,7.78
port lincoln,22,AU,1603765499,71,-34.73,135.87,60.85,11.12
berbera,12,SO,1603765499,55,10.44,45.01,78.93,4.43
susuman,0,RU,1603765499,86,62.78,148.17,14.49,0.54
coos bay,1,US,1603765499,61,43.37,-124.22,51.01,11.41
christchurch,100,NZ,1603765499,58,-43.53,172.63,53.6,8.05
mantua,100,IT,1603765500,96,45.17,10.78,55.99,4.0
pavino,31,RU,1603765500,97,59.11,46.14,26.94,4.61
russkaya polyana,94,UA,1603765500,68,49.42,31.92,51.33,10.2
montgomery,75,US,1603765500,93,39.15,-77.2,57.0,1.28
kapit,100,MY,1603765500,84,2.02,112.93,78.26,2.64
sabang,4,ID,1603765501,72,5.89,95.32,82.85,17.36
monrovia,75,LR,1603765501,94,6.3,-10.8,78.8,6.53
belaya gora,36,RU,1603765501,89,68.53,146.42,6.71,2.48
alpena,90,US,1603765501,93,45.06,-83.43,35.6,3.36
san patricio,20,US,1603765502,78,28.02,-97.52,78.8,11.41
marsh harbour,99,BS,1603765327,77,26.54,-77.06,81.81,7.36
iskateley,100,RU,1603765328,94,67.68,53.15,20.26,16.91
durango,0,MX,1603765410,50,24.83,-104.83,62.17,10.8
vanimo,0,PG,1603765503,60,-2.67,141.3,85.73,5.1
garowe,99,SO,1603765503,76,8.41,48.48,72.82,2.1
baruun-urt,0,MN,1603765503,74,46.68,113.28,29.66,9.22
oktyabrskoye,18,RU,1603765503,100,43.06,44.74,46.4,2.24
antalaha,11,MG,1603765503,83,-14.9,50.28,68.79,5.35
ahipara,69,NZ,1603765504,73,-35.17,173.17,68.52,8.75
ambulu,99,ID,1603765504,76,-8.35,113.61,81.72,3.74
serov,100,RU,1603765503,95,59.6,60.58,19.08,11.99
calabar,100,NG,1603765504,97,4.95,8.32,74.03,1.9
myre,75,NO,1603765505,75,69.1,15.95,44.6,19.46
sur,0,OM,1603765505,64,22.57,59.53,68.43,3.44
tallahassee,1,US,1603765474,83,30.44,-84.28,77.0,5.64
leh,0,IN,1603765505,65,34.17,77.58,29.8,4.5
bantry,90,IE,1603765505,93,51.68,-9.45,50.0,12.75
sambava,6,MG,1603765506,84,-14.27,50.17,69.94,7.34
canatlan,20,MX,1603765506,27,24.52,-104.78,73.4,12.75
placido de castro,65,BR,1603765506,86,-10.34,-67.19,77.04,2.24
shimoda,75,JP,1603765307,72,34.67,138.95,64.4,17.22
la baneza,75,ES,1603765506,100,42.3,-5.9,46.0,8.05
toribio,75,CO,1603765507,78,2.95,-76.27,75.2,5.82
ende,42,ID,1603765507,65,-8.84,121.66,85.68,5.44
severo-yeniseyskiy,93,RU,1603765268,97,60.37,93.04,13.86,4.43
ballyshannon,100,IE,1603765507,94,54.5,-8.18,45.0,10.0
newport,76,GB,1603765508,97,51.59,-3.0,48.99,10.02
yushala,90,RU,1603765508,92,57.08,64.26,30.2,20.13
mlandizi,40,TZ,1603765508,88,-6.7,38.73,75.2,2.53
mount isa,75,AU,1603765311,17,-20.73,139.5,82.4,5.82
sibolga,87,ID,1603765509,65,1.74,98.78,83.53,0.76
aswan,0,EG,1603765509,31,24.09,32.91,74.28,10.13
vilyuysk,97,RU,1603765509,92,63.76,121.62,10.26,5.57
chake chake,50,TZ,1603765509,84,-5.25,39.77,74.95,2.21
grenville,75,GD,1603765510,88,12.12,-61.62,78.8,17.22
bhatkal,0,IN,1603765510,75,13.97,74.57,77.31,3.74
